Clade,GenusFinal,SpeciesFinal,Specimen,Scapula,Humerus,Radius,MC III L,Femur,Tibia,MT III L
Hadrosauridae,Tanius,sinensis,,820,510,561,,1050,930,402
Ornithopoda,Tenontosaurus,dossi,FWMSH 93B1,494,466,341,113,557,565,226
Ornithopoda,Tenontosaurus,tilletti,OU 11,450,441,330,93,573,535,211
Ornithopoda,Tethyshadros,insularis,SC 57021,353,292,277,124,420,550,193
Ornithopoda,Thescelosaurus,neglectus,USNM 7757,,,149,26,369,309,127
Ornithischia,Tianyulong,confuciusi,STMN 26-3,,34,,,51,82,44
Ceratopsia,Triceratops,sp.,CM 1618,1060,696,412,,1269,736,
Hadrosauridae,Tsintaosaurus,spinorhinus,PMNH V728,968,612,752,224,1000,1050,336
Stegosauria,Tuojiangosaurus,multispinus,CV00209,900,545,,,875,615,
Ceratopsia,Udanoceratops,tschizhovi,PIN 3907/11,452,362,232,,,,
Ornithopoda,Uteodon,aphanoecetes,CM 11337,290,227,143,45,398,355,
Pachycephalosauria,Wannanosaurus,yansiensis,IVPP V4447,,43,,,85,87,
Ornithopoda,Xiaosaurus,dashanpensis,IVPP V6730A,,87,,,110,118,70
Ornithopoda,Yandusaurus,hongheensis,GCC V20501,262,260,153,53,,,
Ankylosauria,Zhejiangosaurus,lishuiensis,ZMNH M8718,,,,,525,240,75
